,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,,Playoffs,Playoffs,Playoffs,,,,
Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,W plyf,L plyf,W-L%,Chmp,SBwl,Conf,Div
Arizona Cardinals,1920,2023,582,792,41,.424,Fitzgerald,Hart,Anderson,Fitzgerald,Arians,11,7,10,0.412,2,0,1,8
Chicago Cardinals,1920,1943,99,141,21,.413,,,,,,0,0,0,,1,0,0,1
Chi/Pit Cards/Steelers,1944,1944,0,10,0,.000,,,,,,0,0,0,,0,0,0,0
Chicago Cardinals,1945,1959,66,107,4,.382,,,,,,2,1,1,,1,0,0,2
St. Louis Cardinals,1960,1987,186,202,14,.480,,,,,,3,0,3,,0,0,0,2
Phoenix Cardinals,1988,1993,32,64,0,.333,,,,,,0,0,0,,0,0,0,0
Arizona Cardinals,1994,2023,199,268,2,.426,,,,,,6,6,6,,0,0,1,3
Atlanta Falcons,1966,2023,385,494,6,.438,Ryan,Ryan,Riggs,Jones,Smith,14,10,14,0.417,0,0,2,7
Baltimore Ravens,1996,2023,245,191,1,.562,Lewis,Flacco,Lewis,Mason,Harbaugh,14,16,12,0.571,2,2,2,6
Buffalo Bills,1960,2023,464,496,8,.483,Smith,Kelly,Thomas,Reed,Levy,22,18,20,0.474,2,0,4,14
Carolina Panthers,1995,2023,212,240,1,.469,Newton,Newton,Stewart,Smith,Rivera,8,9,8,0.529,0,0,2,6
Chicago Bears,1920,2023,786,627,42,.556,Payton,Cutler,Payton,Morris,Halas,27,17,20,0.459,9,1,2,24
Decatur Staleys,1920,1920,10,1,2,.909,,,,,,0,0,0,,0,0,0,0
Chicago Staleys,1921,1921,9,1,1,.900,,,,,,0,0,0,,1,0,0,1
Chicago Bears,1922,2023,767,625,39,.551,,,,,,27,17,20,,8,1,2,23
Cincinnati Bengals,1968,2023,386,465,5,.454,Munoz,Anderson,Dillon,Johnson,Lewis,16,10,16,0.385,0,0,3,12
Cleveland Browns,1946,2023,550,529,14,.510,Matthews,Sipe,Brown,Newsome,Brown,29,17,21,0.447,8,0,0,23
Dallas Cowboys,1960,2023,552,409,6,.574,Smith,Romo,Smith,Witten,Landry,35,36,30,0.545,5,5,8,25
Denver Broncos,1960,2023,500,459,10,.521,Elway,Elway,Davis,Smith,Shanahan,22,23,19,0.548,3,3,8,15
Detroit Lions,1930,2023,581,703,34,.453,Sanders,Stafford,Sanders,Johnson,Fontes,17,7,13,0.350,4,0,0,8
Portsmouth Spartans,1930,1933,28,16,7,.636,,,,,,0,0,0,,0,0,0,0
Detroit Lions,1934,2023,553,687,27,.446,,,,,,17,7,13,,4,0,0,9
Green Bay Packers,1921,2023,792,591,38,.572,Rodgers,Favre,Green,Driver,Lambeau,35,36,25,0.590,13,4,5,31
Houston Texans,2002,2023,143,197,1,.421,Watt,Schaub,Foster,Johnson,Kubiak,6,4,6,0.400,0,0,0,6
Indianapolis Colts,1953,2023,549,494,8,.526,Manning,Manning,James,Harrison,Dungy,29,23,25,0.479,4,2,4,21
Baltimore Colts,1953,1983,222,194,7,.534,,,,,,10,8,7,,3,1,2,10
Indianapolis Colts,1984,2023,327,300,1,.521,,,,,,19,15,18,,1,1,2,12
Jacksonville Jaguars,1995,2023,190,263,0,.419,Smith,Brunell,Taylor,Smith,Coughlin,8,8,8,0.500,0,0,0,4
Kansas City Chiefs,1960,2023,523,434,12,.546,Shields,Dawson,Charles,Gonzalez,Stram,25,20,21,0.488,4,3,5,16
Dallas Texans,1960,1962,25,17,0,.595,,,,,,1,1,0,,1,0,0,1
Kansas City Chiefs,1963,2023,498,417,12,.544,,,,,,24,19,21,,3,3,5,16
Las Vegas Raiders,1960,2023,498,460,11,.520,Otto,Carr,Allen,Brown,Madden,23,25,20,0.556,3,3,5,16
Oakland Raiders,1960,1981,195,110,11,.638,,,,,,11,15,9,,2,2,3,9
Los Angeles Raiders,1982,1994,118,82,0,.590,,,,,,7,6,6,,1,1,1,4
Oakland Raiders,1995,2019,160,240,0,.400,,,,,,4,4,4,,0,0,1,3
Las Vegas Raiders,2020,2023,25,28,0,.472,,,,,,1,0,1,,,0,,0
Los Angeles Chargers,1960,2023,479,479,11,.500,Rivers,Rivers,Tomlinson,Gates,Gillman,20,12,19,0.387,1,0,1,15
Los Angeles Chargers,1960,1960,10,4,0,.714,,,,,,1,0,1,,0,0,0,1
San Diego Chargers,1961,2016,416,427,11,.493,,,,,,17,11,16,,1,0,1,14
Los Angeles Chargers,2017,2023,53,48,0,.525,,,,,,2,1,2,,0,0,,0
Los Angeles Rams,1937,2023,605,594,21,.505,Olsen,Everett,Jackson,Bruce,Robinson,31,26,27,0.491,4,2,5,21
Cleveland Rams,1937,1945,34,50,2,.405,,,,,,1,1,0,,1,0,0,1
Los Angeles Rams,1946,1994,364,299,18,.549,,,,,,21,12,20,,1,0,1,14
St. Louis Rams,1995,2015,142,193,1,.424,,,,,,5,6,4,,1,1,2,3
Los Angeles Rams,2016,2023,65,52,0,.556,,,,,,4,7,3,,1,1,2,3
Miami Dolphins,1966,2023,488,393,4,.554,Marino,Marino,Csonka,Duper,Shula,24,20,22,0.476,2,2,5,14
Minnesota Vikings,1961,2023,516,428,11,.546,Eller,Tarkenton,Peterson,Carter,Grant,31,21,31,0.404,0,0,4,21
New England Patriots,1960,2023,538,422,9,.560,Brady,Brady,Cunningham,Morgan,Belichick,28,37,22,0.627,6,6,11,22
Boston Patriots,1960,1970,65,80,9,.448,,,,,,1,1,1,,0,0,0,1
New England Patriots,1971,2023,473,342,0,.580,,,,,,27,36,21,,6,6,11,21
New Orleans Saints,1967,2023,405,461,5,.468,Brees,Brees,Ingram,Colston,Payton,14,10,13,0.435,1,1,1,9
New York Giants,1925,2023,716,640,34,.528,Taylor,Manning,Barber,Toomer,Owen,33,25,26,0.490,8,4,5,25
New York Jets,1960,2023,422,539,8,.439,Maynard,Namath,Martin,Maynard,Ewbank,14,12,13,0.480,1,1,1,4
New York Titans,1960,1962,19,23,0,.452,,,,,,0,0,0,,0,0,0,0
New York Jets,1963,2023,403,516,8,.439,,,,,,14,12,13,,1,1,1,4
Philadelphia Eagles,1933,2023,616,630,27,.494,White,McNabb,McCoy,Carmichael,Reid,29,25,25,0.500,4,1,4,16
Philadelphia Eagles,1933,1942,23,82,4,.219,,,,,,0,0,0,,0,0,0,0
Phi/Pit Eagles/Steelers,1943,1943,5,4,1,.556,,,,,,0,0,0,,0,0,0,0
Philadelphia Eagles,1944,2023,588,544,22,.519,,,,,,29,25,25,,4,1,4,17
Pittsburgh Steelers,1933,2023,663,572,22,.537,Roethlisberger,Roethlisberger,Harris,Ward,Noll,33,36,27,0.571,6,6,8,25
Pittsburgh Pirates,1933,1939,22,55,3,.286,,,,,,0,0,0,,0,0,0,0
Pittsburgh Steelers,1940,1942,10,20,3,.333,,,,,,0,0,0,,0,0,0,0
Phi/Pit Eagles/Steelers*,1943,1943,5,4,1,.556,,,,,,0,0,0,,,,,0
Chi/Pit Cards/Steelers*,1944,1944,0,10,0,.000,,,,,,0,0,0,,,,,0
Pittsburgh Steelers,1945,2023,631,497,16,.559,,,,,,33,36,27,,6,6,8,26
San Francisco 49ers,1946,2023,615,510,16,.547,Rice,Montana,Gore,Rice,Seifert,29,37,24,0.607,5,5,7,22
Seattle Seahawks,1976,2023,385,359,1,.517,Wilson,Wilson,Alexander,Largent,Carroll,20,17,19,0.472,1,1,3,11
Tampa Bay Buccaneers,1976,2023,301,443,1,.405,Brooks,Winston,Wilder,Evans,Gruden,13,11,11,0.500,2,2,2,8
Tennessee Titans,1960,2023,471,492,6,.489,Matthews,Moon,George,Givins,Fisher,25,17,23,0.425,2,0,1,11
Houston Oilers,1960,1996,251,291,6,.463,,,,,,15,9,13,,2,0,0,6
Tennessee Oilers,1997,1998,16,16,0,.500,,,,,,0,0,0,,0,0,0,0
Tennessee Titans,1999,2023,204,185,0,.524,,,,,,10,8,10,,0,0,1,5
Washington Commanders,1932,2023,627,631,29,.498,Green,Theismann,Riggins,Monk,Gibbs,25,23,20,0.535,5,3,5,16
Boston Braves,1932,1932,4,4,2,.500,,,,,,0,0,0,,0,0,0,0
Boston Redskins,1933,1936,20,24,3,.455,,,,,,1,0,1,,0,0,0,1
Washington Redskins,1937,2019,579,575,23,.502,,,,,,23,23,18,,5,3,5,14
Washington Football Team,2020,2021,14,19,0,.424,,,,,,1,0,1,,,0,,1
Washington Commanders,2022,2023,10,9,1,.525,,,,,,,,,,,,,0
