No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
95,Adetomiwa Adebawore,22,DE,0,0,280,,Northwestern,3/4/2001,Rook,,Indianapolis Colts / 4th / 110th pick / 2023,AdebAd00
81,Mo Alie-Cox,30,TE,3,2,267,6-5,Virginia Commonwealth,9/19/1993,5,,,AlieMo00
39,Darrell Baker,25,CB,2,1,190,6-1,Georgia Southern,3/27/1998,1,,,BakeDa02
32,Julian Blackmon,25,S,3,3,187,6-0,Utah,8/24/1998,3,,Indianapolis Colts / 3rd / 85th pick / 2020,BlacJu01
29,Julius Brents,23,CB,1,0,202,,IowaKansas St.,1/18/2000,Rook,,Indianapolis Colts / 2nd / 44th pick / 2023,BrenJu00
38,Tony Brown,28,CB,3,0,199,6-0,Alabama,7/13/1995,5,,,BrowTo01
96,Taven Bryan,27,DT,3,0,291,6-5,Florida,3/11/1996,5,,Jacksonville Jaguars / 1st / 29th pick / 2018,BryaTa00
99,DeForest Buckner,29,DT,3,3,295,6-7,Oregon,3/17/1994,7,,San Francisco 49ers / 1st / 7th pick / 2016,BuckDe00
20,Nick Cross,22,S,3,0,210,6-1,Maryland,9/10/2001,1,,Indianapolis Colts / 3rd / 96th pick / 2022,CrosNi00
43,Trevor Denbow,25,S,3,0,208,5-10,NavarroSMU,8/26/1998,1,,,DenbTr00
1,Josh Downs,22,WR,3,2,175,,North Carolina,8/12/2001,Rook,,Indianapolis Colts / 3rd / 79th pick / 2023,DownJo00
52,Samson Ebukam,28,DE,3,3,245,6-3,East. Washington,5/9/1995,6,,Los Angeles Rams / 4th / 125th pick / 2017,EbukSa00
4,Sam Ehlinger,25,QB,0,0,225,6-3,Texas,9/30/1998,2,,Indianapolis Colts / 6th / 218th pick / 2021,EhliSa00
33,Dallis Flowers,26,CB,3,3,196,6-1,Grand ViewPittsburg St.,6/4/1997,1,,,FlowDa00
44,Zaire Franklin,27,LB,3,3,235,6-0,Syracuse,7/2/1996,5,,Indianapolis Colts / 7th / 235th pick / 2018,FranZa00
73,Blake Freeland,22,T,2,0,305,,BYU,5/3/2001,Rook,,Indianapolis Colts / 4th / 106th pick / 2023,FreeBl00
62,Wesley French,27,C,3,1,307,6-4,Western Michigan,11/30/1996,Rook,,,FrenWe00
75,Will Fries,25,OL,3,3,309,6-6,Penn St.,4/4/1998,2,,Indianapolis Colts / 7th / 248th pick / 2021,FrieWi00
34,Jake Funk,25,RB,3,0,205,5-10,Maryland,1/11/1998,2,,Los Angeles Rams / 7th / 233rd pick / 2021,FunkJa00
7,Matt Gay,29,K,3,0,232,6-0,Utah,3/15/1994,4,,Tampa Bay Buccaneers / 5th / 145th pick / 2019,GayxMa00
83,Kylen Granson,25,TE,3,1,242,6-2,RiceSMU,3/27/1998,2,,Indianapolis Colts / 4th / 127th pick / 2021,GranKy00
64,Arlington Hambright,27,G,0,0,300,,Colorado,1/30/1996,3,,Chicago Bears / 7th / 226th pick / 2020,HambAr00
93,Eric Johnson,25,DT,3,0,298,6-5,Missouri State,7/16/1998,1,,Indianapolis Colts / 5th / 159th pick / 2022,JohnEr01
40,Jaylon Jones,21,CB,3,0,205,,Texas A&M,4/3/2002,Rook,,Indianapolis Colts / 7th / 221st pick / 2023,JoneJa13
78,Ryan Kelly,30,C,2,2,307,6-4,Alabama,5/30/1993,7,,Indianapolis Colts / 1st / 18th pick / 2016,KellRy00
55,Isaiah Land,23,LB,0,0,215,,Florida A&M,2/5/2000,Rook,,,LandIs00
53,Shaquille Leonard,28,LB,3,3,230,6-2,South Carolina St.,7/27/1995,5,,Indianapolis Colts / 2nd / 36th pick / 2018,LeonDa00
94,Tyquan Lewis,28,DE,3,0,277,6-3,Ohio St.,1/30/1995,5,,Indianapolis Colts / 2nd / 64th pick / 2018,LewiTy00
86,Will Mallory,24,TE,1,0,245,,Miami (FL),6/22/1999,Rook,,Indianapolis Colts / 5th / 162nd pick / 2023,MallWi00
92,Jacob Martin,28,DE,3,0,242,6-2,Temple,12/11/1995,5,,Seattle Seahawks / 6th / 186th pick / 2018,MartJa02
59,Cameron McGrone,23,LB,3,0,236,6-1,Michigan,6/22/2000,1,,New England Patriots / 5th / 177th pick / 2021,McGrCa00
6,Isaiah McKenzie,28,WR,3,0,173,5-8,Georgia,4/9/1995,6,,Denver Broncos / 5th / 172nd pick / 2017,McKeIs00
