No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
29,Paulson Adebo,24,CB,2,2,192,6-1,Stanford,7/3/1999,2,,New Orleans Saints / 3rd / 76th pick / 2021,AdebPa00
,Ugo Amadi,26,S,3,0,201,5-9,Oregon,5/16/1997,4,,Seattle Seahawks / 4th / 132nd pick / 2019,AmadUg00
53,Zack Baun,27,LB,3,2,225,6-3,Wisconsin,12/30/1996,3,,New Orleans Saints / 3rd / 74th pick / 2020,BaunZa00
5,Lynn Bowden Jr.,26,WR,1,0,201,6-0,Kentucky,10/14/1997,3,,Las Vegas Raiders / 3rd / 80th pick / 2020,BowdLy00
90,Bryan Bresee,22,DT,3,0,305,,Clemson,10/6/2001,Rook,,New Orleans Saints / 1st / 29th pick / 2023,BresBr00
4,Derek Carr,32,QB,3,3,210,6-3,Fresno St.,3/28/1991,9,,Oakland Raiders / 2nd / 36th pick / 2014,CarrDe02
56,Demario Davis,34,LB,3,3,248,6-2,Arkansas St.,1/11/1989,11,,New York Jets / 3rd / 77th pick / 2012,DaviDe00
55,Isaiah Foskey,23,DE,2,0,265,,Notre Dame,10/30/2000,Rook,,New Orleans Saints / 2nd / 40th pick / 2023,FoskIs00
73,Max Garcia,32,G,3,0,309,6-4,Florida,11/9/1991,8,,Denver Broncos / 4th / 133rd pick / 2015,GarcMa00
80,Jimmy Graham,37,TE,3,0,259,6-7,Miami (FL),11/24/1986,13,,New Orleans Saints / 3rd / 95th pick / 2010,GrahJi00
96,Carl Granderson,27,DE,3,3,261,6-5,Wyoming,12/18/1996,4,,,GranCa01
48,J.T. Gray,27,DB,2,0,202,6-0,Mississippi St.,1/18/1996,5,,,GrayJ.00
19,Blake Grupe,25,K,3,0,156,5-7,Arkansas St.Notre Dame,11/5/1998,Rook,,,GrupBl00
39,Lou Hedley,30,P,3,0,220,6-4,City College of San FranciscoMiami (FL),6/26/1993,Rook,,,HedlLo00
7,Taysom Hill,33,QB,3,1,221,6-2,BYU,8/23/1990,6,,,HillTa00
31,Jordan Howden,23,DB,3,1,210,,Minnesota,5/14/2000,Rook,,New Orleans Saints / 5th / 146th pick / 2023,HowdJo00
74,James Hurst,32,OL,3,3,310,6-5,North Carolina,12/17/1991,9,,,HursJa00
52,D'Marco Jackson,25,LB,3,0,225,6-1,Appalachian St.,7/20/1998,Rook,,New Orleans Saints / 5th / 161st pick / 2022,JackDM00
83,Juwan Johnson,27,TE,3,3,231,6-4,OregonPenn St.,9/13/1996,3,,,JohnJu02
28,Lonnie Johnson Jr.,28,CB,3,0,213,6-2,Garden City (KS)Kentucky,11/4/1995,4,,Houston Texans / 2nd / 54th pick / 2019,JohnLo01
