No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
33,Jamal Adams,28,SS,0,0,213,6-1,LSU,10/17/1995,6,,New York Jets / 1st / 6th pick / 2017,AdamJa00
95,Myles Adams,25,DT,3,0,285,6-2,Rice,3/9/1998,2,,,AdamMy00
44,Nick Bellore,34,LB,3,0,250,6-1,Central Michigan,5/12/1989,12,,,BellNi01
19,Jake Bobo,25,WR,3,0,207,,DukeUCLA,8/4/1998,Rook,,,BoboJa00
70,Anthony Bradford,22,G,2,1,332,,LSU,4/28/2001,Rook,,Seattle Seahawks / 4th / 108th pick / 2023,BradAn00
56,Jordyn Brooks,26,LB,3,3,240,6-0,Texas Tech,10/21/1997,3,,Seattle Seahawks / 1st / 27th pick / 2020,BrooJo01
76,Ben Brown,25,C,1,0,315,,Mississippi,5/19/1998,Rook,,,BrowBe01
63,Evan Brown,27,C,3,3,320,6-3,SMU,9/16/1996,4,,,BrowEv00
22,Tre Brown,26,CB,3,2,186,5-10,Oklahoma,9/24/1997,2,,Seattle Seahawks / 4th / 137th pick / 2021,BrowTr03
8,Coby Bryant,24,CB,2,2,198,6-1,Cincinnati,3/29/1999,1,,Seattle Seahawks / 4th / 109th pick / 2022,BryaCo01
23,Artie Burns,28,CB,3,0,197,6-0,Miami (FL),5/1/1995,7,,Pittsburgh Steelers / 1st / 25th pick / 2016,BurnAr00
,Devin Bush Jr.,25,LB,2,1,234,5-11,Michigan,7/18/1998,4,,Pittsburgh Steelers / 1st / 10th pick / 2019,BushDe01
26,Zach Charbonnet,22,RB,3,0,220,,MichiganUCLA,1/8/2001,Rook,,Seattle Seahawks / 2nd / 52nd pick / 2023,CharZa00
67,Charles Cross,23,T,1,1,305,6-5,Mississippi St.,11/25/2000,1,,Seattle Seahawks / 1st / 9th pick / 2022,CrosCh00
74,Jake Curhan,25,T,3,2,316,6-6,California,2/9/1998,2,,,CurhJa00
66,McClendon Curtis,24,G,0,0,328,,Chattanooga,9/16/1999,Rook,,,CurtMc00
31,DeeJay Dallas,25,RB,3,0,214,5-10,Miami (FL),9/16/1998,3,,Seattle Seahawks / 4th / 144th pick / 2020,DallDe00
4,Michael Dickson,27,P,3,0,208,6-2,Texas,1/4/1996,5,,Seattle Seahawks / 5th / 149th pick / 2018,DickMi00
6,Quandre Diggs,30,FS,3,3,197,5-9,Texas,1/22/1993,8,,Detroit Lions / 6th / 200th pick / 2015,DiggQu00
89,Will Dissly,27,TE,2,2,265,6-4,Washington,7/8/1996,5,,Seattle Seahawks / 4th / 120th pick / 2018,DissWi00
97,Mario Edwards,29,DE,3,0,280,6-3,Florida St.,1/25/1994,8,,Oakland Raiders / 2nd / 35th pick / 2015,EdwaMa01
87,Noah Fant,26,TE,3,3,249,6-4,Iowa,11/20/1997,4,,Denver Broncos / 1st / 20th pick / 2019,FantNo00
78,Stone Forsythe,26,T,3,2,307,6-8,Florida,12/29/1997,2,,Seattle Seahawks / 6th / 208th pick / 2021,ForsSt00
58,Derick Hall,22,LB,3,0,256,,Auburn,3/19/2001,Rook,,Seattle Seahawks / 2nd / 37th pick / 2023,HallDe04
60,Phil Haynes,28,G,2,2,322,6-4,Wake Forest,10/19/1995,4,,Seattle Seahawks / 4th / 124th pick / 2019,HaynPh00
30,Michael Jackson,26,CB,3,0,210,6-1,Miami (FL),1/10/1997,4,,Dallas Cowboys / 5th / 158th pick / 2019,JackMi01
55,Dre'Mont Jones,26,DE,3,3,281,6-3,Ohio St.,1/5/1997,4,,Denver Broncos / 3rd / 71st pick / 2019,JoneDr00
28,Kyu Blu Kelly,22,CB,2,0,193,,Stanford,5/22/2001,Rook,,Baltimore Ravens / 5th / 157th pick / 2023,BluxKy00
68,Damien Lewis,26,G,3,3,327,6-2,LSU,3/21/1997,3,,Seattle Seahawks / 3rd / 69th pick / 2020,LewiDa05
2,Drew Lock,27,QB,0,0,228,6-4,Missouri,11/10/1996,4,,Denver Broncos / 2nd / 42nd pick / 2019,LockDr00
16,Tyler Lockett,31,WR,3,3,182,5-10,Kansas St.,9/28/1992,8,,Seattle Seahawks / 3rd / 69th pick / 2015,LockTy00
20,Julian Love,25,S,3,3,195,5-11,Notre Dame,3/19/1998,4,,New York Giants / 4th / 108th pick / 2019,LoveJu00
53,Boye Mafe,25,LB,2,2,265,6-4,Minnesota,11/30/1998,1,,Seattle Seahawks / 2nd / 40th pick / 2022,MafeBo00
14,D.K. Metcalf,26,WR,3,3,235,6-4,Mississippi,12/14/1997,4,,Seattle Seahawks / 2nd / 64th pick / 2019,MetcDK00
5,Jason Myers,32,K,3,0,190,5-10,Marist,5/12/1991,8,,,MyerJa00
10,Uchenna Nwosu,27,LB,3,3,251,6-2,USC,12/28/1996,5,,Los Angeles Chargers / 2nd / 48th pick / 2018,NwosUc00
