No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
57,Montravius Adams,28,DT,3,3,304,6-3,Auburn,7/24/1995,6,,Green Bay Packers / 3rd / 93rd pick / 2017,AdamMo00
54,Kwon Alexander,29,LB,3,0,227,6-1,LSU,8/3/1994,8,,Tampa Bay Buccaneers / 4th / 124th pick / 2015,AlexKw00
74,Spencer Anderson,23,OL,0,0,320,,Maryland,6/7/2000,Rook,,Pittsburgh Steelers / 7th / 251st pick / 2023,AndeSp00
19,Calvin Austin,24,WR,3,0,162,5-9,Memphis,3/24/1999,Rook,,Pittsburgh Steelers / 4th / 138th pick / 2022,AustCa00
95,Keeanu Benton,22,DL,3,0,315,,Wisconsin,7/17/2001,Rook,,Pittsburgh Steelers / 2nd / 49th pick / 2023,BentKe00
9,Chris Boswell,32,K,3,0,185,6-2,Rice,3/16/1991,8,,,BoswCh00
13,Miles Boykin,27,WR,3,0,220,6-4,Notre Dame,10/12/1996,4,,Baltimore Ravens / 3rd / 93rd pick / 2019,BoykMi00
61,Mason Cole,27,C,3,3,298,6-5,Michigan,3/28/1996,5,,Arizona Cardinals / 3rd / 97th pick / 2018,ColeMa02
60,Dylan Cook,25,T,0,0,305,6-6,Montana,1/11/1998,Rook,,,CookDy00
78,James Daniels,26,OL,3,3,327,6-4,Iowa,9/13/1997,5,,Chicago Bears / 2nd / 39th pick / 2018,DaniJa01
96,Breiden Fehoko,27,NT,0,0,295,6-2,LSU,10/15/1996,3,,,FehoBr01
82,Dez Fitzpatrick,26,WR,0,0,210,6-2,Louisville,12/17/1997,2,,Tennessee Titans / 4th / 109th pick / 2021,FitzDe00
39,Minkah Fitzpatrick,27,S,3,3,207,6-1,Alabama,11/17/1996,5,,Miami Dolphins / 1st / 11th pick / 2018,FitzMi00
88,Pat Freiermuth,25,TE,3,3,258,6-5,Penn St.,10/25/1998,2,,Pittsburgh Steelers / 2nd / 55th pick / 2021,FreiPa00
44,Markus Golden,32,LB,3,0,260,6-3,Missouri,3/13/1991,8,,Arizona Cardinals / 2nd / 58th pick / 2015,GoldMa00
22,Najee Harris,25,RB,3,3,232,6-1,Alabama,3/9/1998,2,,Pittsburgh Steelers / 1st / 24th pick / 2021,HarrNa00
6,Pressley Harvin III,25,P,3,0,255,6-0,Georgia Tech,9/17/1998,2,,Pittsburgh Steelers / 7th / 254th pick / 2021,HarvPr00
71,Nate Herbig,25,G,3,0,334,6-4,Stanford,7/10/1998,4,,,HerbNa01
51,Nick Herbig,22,LB,3,0,228,,Wisconsin,11/21/2001,Rook,,Pittsburgh Steelers / 4th / 132nd pick / 2023,HerbNi00
83,Connor Heyward,24,TE,3,0,230,6-0,Michigan St.,1/22/1999,1,,Pittsburgh Steelers / 6th / 208th pick / 2022,HeywCo00
56,Alex Highsmith,26,LB,3,3,242,6-4,Charlotte,8/7/1997,3,,Pittsburgh Steelers / 3rd / 102nd pick / 2020,HighAl02
55,Cole Holcomb,27,LB,3,3,240,6-1,North Carolina,7/30/1996,4,,Washington Redskins / 5th / 173rd pick / 2019,HolcCo00
48,Godwin Igwebuike,29,RB,0,0,212,6-0,Northwestern,9/10/1994,5,,,IgweGo00
77,Broderick Jones,22,T,3,0,310,,Georgia,5/16/2001,Rook,,Pittsburgh Steelers / 1st / 14th pick / 2023,JoneBr09
23,Damontae Kazee,30,S,3,1,174,5-11,San Diego St.,6/5/1993,6,,Atlanta Falcons / 5th / 149th pick / 2017,KazeDa00
28,Miles Killebrew,30,DB,3,0,222,6-2,Southern Utah,5/10/1993,7,,Detroit Lions / 4th / 111th pick / 2016,KillMi00
25,Desmond King,29,CB,1,0,200,5-10,Iowa,12/14/1994,6,,Los Angeles Chargers / 5th / 151st pick / 2017,KingDe01
46,Christian Kuntz,29,LS,3,0,228,6-1,Duquesne,4/13/1994,2,,,KuntCh02
98,DeMarvin Leal,23,DE,3,2,290,6-4,Texas A&M,7/1/2000,1,,Pittsburgh Steelers / 3rd / 84th pick / 2022,LealDe00
92,Isaiahh Loudermilk,26,DT,3,0,293,6-7,Wisconsin,10/10/1997,2,,Pittsburgh Steelers / 5th / 156th pick / 2021,LoudIs00
65,Dan Moore,25,T,3,3,315,6-5,Texas A&M,9/28/1998,2,,Pittsburgh Steelers / 4th / 128th pick / 2021,MoorDa05
31,Keanu Neal,28,S,3,3,211,6-0,Florida,7/26/1995,7,,Atlanta Falcons / 1st / 17th pick / 2016,NealKe01
99,Larry Ogunjobi,29,DT,3,3,305,6-4,Charlotte,6/3/1994,6,,Cleveland Browns / 3rd / 65th pick / 2017,OgunLa00
76,Chukwuma Okorafor,26,OL,3,3,320,6-6,Western Michigan,8/8/1997,5,,Pittsburgh Steelers / 3rd / 92nd pick / 2018,OkorCh00
89,Gunner Olszewski,27,WR,1,0,190,6-0,Bemidji St.,11/26/1996,4,,,OlszGu00
20,Patrick Peterson,33,CB,3,3,198,6-1,LSU,7/11/1990,12,,Arizona Cardinals / 1st / 5th pick / 2011,PetePa00
14,George Pickens,22,WR,3,3,200,6-3,Georgia,3/4/2001,1,,Pittsburgh Steelers / 2nd / 52nd pick / 2022,PickGe00
8,Kenny Pickett,25,QB,3,3,220,6-3,Pittsburgh,6/6/1998,1,,Pittsburgh Steelers / 1st / 20th pick / 2022,PickKe00
42,James Pierre,27,CB,3,0,185,6-2,Florida Atlantic,9/16/1996,3,,,PierJa01
24,Joey Porter Jr.,23,CB,3,0,198,,Penn St.,7/26/2000,Rook,,Pittsburgh Steelers / 2nd / 32nd pick / 2023,PortJo02
37,Elijah Riley,25,DB,3,0,205,6-0,Army,6/12/1998,3,,,RileEl01
50,Elandon Roberts,29,LB,3,3,238,6-1,Houston,4/22/1994,7,,New England Patriots / 6th / 214th pick / 2016,RobeEl00
11,Allen Robinson,30,WR,3,3,220,6-2,Penn St.,8/24/1993,9,,Jacksonville Jaguars / 2nd / 61st pick / 2014,RobiAl02
