No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
2,Azeez Al-Shaair,26,LB,3,3,228,6-2,Florida Atlantic,8/4/1997,4,,,AlShAz00
96,Denico Autry,33,DL,3,2,285,6-5,East Mississippi CCMississippi St.,7/15/1990,9,,,AutrDe00
23,Tre Avery,26,CB,2,0,181,5-11,ToledoRutgers,2/26/1997,1,,,AverTr01
55,Aaron Brewer,26,OL,3,3,295,6-1,Texas St.,10/28/1997,3,,,BrewAa01
60,Daniel Brunskill,29,OL,3,3,300,6-5,San Diego St.,1/27/1994,4,,,BrunDa00
16,Treylon Burks,23,WR,3,3,225,6-3,Arkansas,3/23/2000,1,,Tennessee Titans / 1st / 18th pick / 2022,BurkTr00
31,Kevin Byard,30,S,3,3,212,5-11,Middle Tenn. St.,8/17/1993,7,,Tennessee Titans / 3rd / 64th pick / 2016,ByarKe01
45,Chance Campbell,24,LB,1,0,235,6-3,MarylandMississippi,10/8/1999,Rook,,Tennessee Titans / 6th / 219th pick / 2022,CampCh02
46,Morgan Cox,37,LS,3,0,233,6-4,Tennessee,4/26/1986,13,,,CoxxMo00
71,Andre Dillard,28,T,3,3,315,6-5,Washington St.,10/3/1995,4,,Philadelphia Eagles / 1st / 22nd pick / 2019,DillAn00
14,Colton Dowell,24,WR,0,0,215,6-3,UT Martin,4/19/1999,Rook,,Tennessee Titans / 7th / 228th pick / 2023,DoweCo00
79,Jaelyn Duncan,23,T,1,0,320,,Maryland,7/8/2000,Rook,,Tennessee Titans / 6th / 186th pick / 2023,DuncJa00
6,Nick Folk,39,K,3,0,222,6-1,Arizona,11/5/1984,16,,Dallas Cowboys / 6th / 178th pick / 2007,FolkNi20
26,Kristian Fulton,25,CB,3,2,197,5-11,LSU,9/3/1998,3,,Tennessee Titans / 2nd / 61st pick / 2020,FultKr00
50,Jack Gibbens,25,LB,3,3,242,6-3,Abilene ChristianMinnesota,11/24/1998,1,,,GibbJa00
57,Luke Gifford,28,LB,3,1,243,6-3,Nebraska,8/28/1995,4,,,GiffLu00
51,Trevis Gipson,26,OLB,1,0,263,6-4,Tulsa,6/13/1997,3,,Chicago Bears / 5th / 155th pick / 2020,GipsTr00
22,Derrick Henry,29,RB,3,3,247,6-3,Alabama,1/4/1994,7,,Tennessee Titans / 2nd / 45th pick / 2016,HenrDe00
37,Amani Hooker,25,DB,2,2,210,5-11,Iowa,6/14/1998,4,,Tennessee Titans / 4th / 116th pick / 2019,HookAm00
10,DeAndre Hopkins,31,WR,3,3,212,6-1,Clemson,6/6/1992,10,,Houston Texans / 1st / 27th pick / 2013,HopkDe00
66,Chris Hubbard,32,OL,3,3,295,6-4,Ala-Birmingham,4/23/1991,9,,,HubbCh00
39,Matthew Jackson,25,S,3,0,209,6-1,East. Kentucky,11/9/1998,Rook,,,JackMa04
90,Naquan Jones,25,DT,3,0,313,6-3,Michigan St.,2/5/1998,2,,,JoneNa01
40,Anthony Kendall,24,CB,3,0,177,5-10,Baldwin-Wallace,12/17/1999,Rook,,,KendAn00
49,Arden Key,27,OLB,3,1,240,6-5,LSU,5/3/1996,5,,Oakland Raiders / 3rd / 87th pick / 2018,KeyxAr00
12,Mason Kinsey,25,WR,1,0,203,5-10,Berry,8/29/1998,2,,,KinsMa00
58,Harold Landry,27,OLB,3,2,252,6-2,Boston Col.,6/5/1996,5,,Tennessee Titans / 2nd / 41st pick / 2018,LandHa00
62,Corey Levin,29,OL,2,0,307,6-4,Chattanooga,8/12/1994,5,,Tennessee Titans / 6th / 217th pick / 2017,LeviCo00
8,Will Levis,24,QB,0,0,232,,Penn St.Kentucky,6/27/1999,Rook,,Tennessee Titans / 2nd / 33rd pick / 2023,LeviWi00
21,Roger McCreary,23,CB,3,1,190,6-0,Auburn,2/10/2000,1,,Tennessee Titans / 2nd / 35th pick / 2022,McCrRo01
24,Elijah Molden,24,CB,3,1,192,5-10,Washington,1/30/1999,2,,Tennessee Titans / 3rd / 100th pick / 2021,MoldEl00
11,Chris Moore,30,WR,3,0,200,6-1,Cincinnati,6/16/1993,7,,Baltimore Ravens / 4th / 107th pick / 2016,MoorCh00
42,Caleb Murphy,24,OLB,0,0,245,6-4,Ferris State,12/15/1999,Rook,,,MurpCa00
,Sean Murphy-Bunting,26,CB,3,3,195,6-0,Central Michigan,6/19/1997,4,,Tampa Bay Buccaneers / 2nd / 39th pick / 2019,BuntSe00
73,Justin Murray,30,T,2,0,315,6-5,Cincinnati,4/19/1993,5,,,MurrJu00
67,Xavier Newman-Johnson,24,OL,2,1,297,6-2,Baylor,8/4/1999,1,,,NewmXa00
85,Chigoziem Okonkwo,24,TE,3,3,244,6-2,Maryland,9/8/1999,1,,Tennessee Titans / 4th / 143rd pick / 2022,OkonCh00
95,Kyle Peko,30,DT,3,3,305,6-1,Oregon St.,7/23/1993,7,,,PekoKy00
75,Dillon Radunz,25,OL,2,1,301,6-6,North Dakota St.,3/28/1998,2,,Tennessee Titans / 2nd / 53rd pick / 2021,RaduDi00
56,Monty Rice,24,LB,3,0,233,6-0,Georgia,1/8/1999,2,,Tennessee Titans / 3rd / 92nd pick / 2021,RiceMo00
